,,10-K,10-Q
neg_prop,count,384.0,1158.0
neg_prop,mean,0.02547132544336016,0.021721231752024613
neg_prop,std,0.00450814647940572,0.010777311438582812
neg_prop,min,0.012768290772364093,0.003653693407466243
neg_prop,25%,0.022600733169168975,0.012217911726673032
neg_prop,50%,0.025761101699295436,0.017733299677704394
neg_prop,75%,0.0286816935154556,0.03316486731261481
neg_prop,max,0.03626036712393381,0.05043797682961289
neg_tfidf,count,384.0,1158.0
neg_tfidf,mean,167.19399848803127,75.85661479163794
neg_tfidf,std,61.293298985434156,72.8959914045558
neg_tfidf,min,59.55414834320804,2.1410479364373107
neg_tfidf,25%,119.80416947833514,16.302345307095074
neg_tfidf,50%,152.975636993151,34.4237936948059
neg_tfidf,75%,205.36914816460603,133.98416301861866
neg_tfidf,max,345.88517763766544,284.3622976445343
unc_prop,count,384.0,1158.0
unc_prop,mean,0.02113291017186787,0.019330282031225318
unc_prop,std,0.0026277264239835223,0.006610897266567064
unc_prop,min,0.014153782297395456,0.0063033284649089095
unc_prop,25%,0.019414858817679848,0.013885315741170069
unc_prop,50%,0.021364902018291013,0.01762404572725378
unc_prop,75%,0.02297469908628514,0.02608935511986822
unc_prop,max,0.027948496899246365,0.03580240432568639
unc_tfidf,count,384.0,1158.0
unc_tfidf,mean,27.554196361693325,12.697510464567246
unc_tfidf,std,9.714318126030289,8.668589900788797
unc_tfidf,min,10.299640760368915,1.3406875819267257
unc_tfidf,25%,20.295063725459073,5.58500895060554
unc_tfidf,50%,26.034881249024323,9.898739807938872
unc_tfidf,75%,32.4134044410641,19.166074664121584
unc_tfidf,max,64.12628656283093,40.77110492094126
