,n,n_firms,coef,se,t,p,effect_1sd
10-K / prop / between_firm / without_pre_vol,367.0,87.0,24.751326436277825,5.706027989750951,4.3377506175461535,1.439483516495647e-05,0.06443590960996269
10-K / prop / between_firm / with_pre_vol,367.0,87.0,21.916282387650206,6.472915495914471,3.3858440453120653,0.0007095969810009638,0.05705534992448737
10-K / prop / within_firm / without_pre_vol,367.0,87.0,2.568059488549923,10.442266528750045,0.24592931826432932,0.8057369479748945,0.0066855103504543534
10-K / prop / within_firm / with_pre_vol,367.0,87.0,3.1818758012208725,10.874160568499102,0.2926088667881468,0.769821135560784,0.008283477737867383
10-K / tfidf / between_firm / without_pre_vol,367.0,87.0,0.0070637404274456195,0.0015186588167857178,4.651301760059719,3.2984625755882404e-06,0.06920394160084153
10-K / tfidf / between_firm / with_pre_vol,367.0,87.0,0.006331143273750313,0.0015181060360519164,4.170422304765673,3.0403570008886994e-05,0.06202663785334153
10-K / tfidf / within_firm / without_pre_vol,367.0,87.0,0.001283373099460739,0.004043910775512373,0.31735940051697425,0.7509709098118238,0.01257329285233786
10-K / tfidf / within_firm / with_pre_vol,367.0,87.0,0.003964499248183087,0.004042822484546751,0.9806265952405661,0.3267769143166295,0.03884046664311755
10-Q / prop / between_firm / without_pre_vol,1128.0,89.0,7.750236733527723,1.9764524066794875,3.921286800195915,8.807735666352263e-05,0.051276459534964285
10-Q / prop / between_firm / with_pre_vol,1128.0,89.0,4.865910557828169,1.2609833539085213,3.8588221983627937,0.00011393478804778241,0.03219342510401771
10-Q / prop / within_firm / without_pre_vol,1128.0,89.0,1.263056624470491,2.1331916409583065,0.5920971188050786,0.5537855561687666,0.008356528209629307
10-Q / prop / within_firm / with_pre_vol,1128.0,89.0,1.03131201314403,2.070219660173088,0.49816550049466907,0.6183673966619976,0.006823279149801115
10-Q / tfidf / between_firm / without_pre_vol,1128.0,89.0,0.005495632706347306,0.0015656367558966363,3.510158206013738,0.0004478401513099917,0.047800294429992715
10-Q / tfidf / between_firm / with_pre_vol,1128.0,89.0,0.0032950549246153734,0.0010329611185979199,3.1899118614337443,0.0014231619026449612,0.02865995672849439
10-Q / tfidf / within_firm / without_pre_vol,1128.0,89.0,0.0028688277130042295,0.0018246012522540758,1.5723039263839906,0.11588008289490144,0.024952688194053156
10-Q / tfidf / within_firm / with_pre_vol,1128.0,89.0,0.0026831091033471077,0.0017611087541397942,1.5235340219847244,0.12762515562167923,0.02333733201996129
